seed,hopper_expert_T1,hopper_expert_T2,hopper_replay_T1,hopper_replay_T2,walker2d_expert_T1,walker2d_expert_T2,walker2d_replay_T1,walker2d_replay_T2
42,0.5854883439433538,1.0976956573133874,0.12461754997017979,0.9657512995367579,0.8444425091979652,1.0872184235543727,0.13535208101110732,0.16539409533161079
43,0.39772124173677365,1.112983251990432,0.47418253608390376,1.0161639564884035,1.0451360369564795,1.0795559639021017,0.0575682011388517,0.2634510553198364
44,0.6464170020218999,1.110438264634839,0.3468801666620733,0.19282170810684235,0.25203545370932345,1.085903865038493,0.0971012267174658,0.6728650125916554
45,0.525541890742719,0.6837536824236026,0.31545132112910595,0.5429888397863996,1.0755038355391318,1.0659283416360539,0.1699495656720575,0.1664913480653286
46,0.621299710472352,1.137984654934114,0.22280652362411235,0.6465756167509056,0.8172879114878939,1.0842988689621107,0.22604595633684427,0.23461806697263246
47,0.48664084398041235,1.1247881770033865,0.12828134870104774,0.6707978699815905,1.0770847176161389,0.8210839699272297,0.15233799086308894,0.28924481879953806
48,0.5653646259000836,1.100154124571439,0.7496143854655516,0.7549479178696338,0.6565838075288132,1.0738973519752166,0.42876385405008055,0.2518146973497132
49,0.5763546708772471,1.1201698706344754,0.3269875956728501,0.5486564264658202,0.5476856857190361,0.8155426138683007,0.13518163977099643,0.7105509741305637
50,0.48808835641388937,1.0966394428454513,0.24223794309812782,0.38030314721866976,0.7962588368215202,1.0786531547361213,0.12409947567836574,0.05584090887569189
51,0.4851342909460924,1.104611626512887,0.2760733209440324,0.9868864081124102,1.0690296380675348,1.081306028191008,0.05834614889780828,0.14256772471146595
52,0.5726521593936978,1.0994969851599132,0.2087801579271137,0.5778598803891116,0.9637466456166538,1.0783535014693382,0.007869253442006764,0.08231736478447138
53,0.5330830832530106,1.1215574736131675,0.8737087899013289,0.6633879834254552,0.8616898327486852,0.32504226364976857,0.11495000852914683,0.754989338343026
54,0.49841721199959743,1.109435389447952,0.21085106584448263,0.43548860755872915,1.0715065588307366,0.8077014128909834,0.22119186540362754,0.8117830529378469
55,0.5024344052339347,1.1077144531658905,0.7260417152243569,0.6723311499633332,1.0708414495175773,1.0800030476969922,0.4506454269174514,0.7939585136979752
